case_id,state,district,referral_date,referral_source,child_age_group,case_type,risk_level,outreach_attempts,service_provided,follow_up_status,case_status,support_amount_inr,days_to_first_contact,outcome_category
CWI-005820,Maharashtra,Pune,2023-11-21,Community Worker,11-14,Mental Health Support,Medium,1,Medical Referral,Completed,Closed,5498,5,Improved Access to Services
CWI-004609,Andhra Pradesh,Tirupati,2024-08-16,Community Worker,15-17,Protection Concern,Low,2,Nutrition Support,In Progress,Closed,3320,8,Referred to Specialist Agency
CWI-008471,Maharashtra,Pune,2025-03-11,Childline/Helpline,0-5,Protection Concern,Medium,2,Education Kit,Completed,Escalated,125000,3,Improved Access to Services
CWI-009041,Andhra Pradesh,Visakhapatnam,2023-06-14,Community Worker,11-14,Protection Concern,Medium,2,Legal Aid Referral,In Progress,Open,2961,9,Referred to Specialist Agency
CWI-007451,Karnataka,Mysuru,2023-07-18,Childline/Helpline,0-5,Mental Health Support,Low,1,Cash Support,In Progress,Referred,4298,6,Stabilized
CWI-004672,Tamil Nadu,Madurai,2024-03-07,Childline/Helpline,15-17,Education Support,High,1,Education Kit,Pending,Open,7672,1,Ongoing Support Needed
CWI-005584,Kerala,Kollam,2024-06-10,NGO Partner,11-14,Mental Health Support,Medium,4,Cash Support,Pending,Referred,2073,8,Improved Access to Services
CWI-003718,Rajasthan,Udaipur,2025-11-12,NGO Partner,0-5,Education Support,High,4,Counseling,Pending,Open,6083,0,Ongoing Support Needed
CWI-009328,Telangana,Hyderabad,2023-10-07,School,0-5,Health/Nutrition,High,3,Medical Referral,Completed,Open,4475,2,Referred to Specialist Agency
CWI-003929,Andhra Pradesh,Guntur,2024-11-14,School,0-5,Protection Concern,Medium,3,Nutrition Support,Completed,Open,1057,9,Unable to Verify Outcome
CWI-003618,AP,Guntur,2024-02-01,School,0-5,Mental Health Support,Low,6,Counseling,Unable to Contact,Open,2432,6,Ongoing Support Needed
CWI-001426,Maharashtra,Nagpur,2024-03-09,NGO Partner,11-14,Education Support,Low,2,Education Kit,Completed,Closed,1900,4,Ongoing Support Needed
CWI-009379,Tamil Nadu,Madurai,2024-06-24,Community Worker,11-14,Health/Nutrition,Medium,3,Medical Referral,Pending,Closed,5966,3,Stabilized
CWI-002920,Kerala,Thiruvananthapuram,2025-04-27,NGO Partner,11-14,Mental Health Support,Medium,6,Medical Referral,Completed,Referred,5138,3,Stabilized
CWI-003820,Rajasthan,Jaipur,2025-07-09,Childline/Helpline,11-14,Family Reintegration,High,3,Counseling,Completed,Closed,8087,2,Improved Access to Services
CWI-001872,Maharashtra,Nashik,2023-10-30,Childline/Helpline,15-17,Protection Concern,Medium,2,Cash Support,Completed,Closed,6090,4,Ongoing Support Needed
CWI-005488,Andhra Pradesh,Tirupati,2025-06-07,Police,15-17,Emergency Shelter,Critical,2,Medical Referral,Completed,Closed,8743,2,Ongoing Support Needed
CWI-000481,Maharahstra,Thane,2023-07-20,Healthcare Facility,11-14,Education Support,Low,4,Family Counseling,Completed,Open,1713,4,Improved Access to Services
CWI-005973,Delhi,New Delhi,2024-12-10,School,15-17,Health/Nutrition,High,5,Medical Referral,Completed,Closed,1356,5,Improved Access to Services
CWI-009601,Delhi,East Delhi,2024-05-31,Childline/Helpline,6-10,Education Support,Low,2,Legal Aid Referral,Completed,Escalated,1911,8,Ongoing Support Needed
CWI-002889,Andhra pradesh,Tirupati,2024-02-04,School,11-14,Education Support,Low,5,Nutrition Support,Pending,Closed,679,6,Referred to Specialist Agency
CWI-006687,Uttar pradesh,Kanpur,2023-01-28,Childline/Helpline,6-10,Family Reintegration,Low,1,Nutrition Support,In Progress,Open,4130,8,Ongoing Support Needed
CWI-006316,Maharahstra,Nagpur,2025-10-21,Self/Family,11-14,Protection Concern,High,4,Medical Referral,Completed,Escalated,5948,4,Ongoing Support Needed
CWI-000528,Uttar Pradesh,Prayagraj,2025-10-25,Police,11-14,Education Support,High,2,Counseling,Completed,Closed,6727,1,Improved Access to Services
CWI-004130,Uttar Pradesh,Agra,2025-08-20,Community Worker,6-10,Health/Nutrition,Medium,4,Education Kit,Unable to Contact,Escalated,3785,2,Stabilized
CWI-000723,Telangana,Nizamabad,2025-01-04,Healthcare Facility,0-5,Family Reintegration,Low,3,Legal Aid Referral,Pending,Closed,2646,6,Stabilized
CWI-005121,West Bengal,Siliguri,2025-11-07,Self/Family,11-14,Education Support,Medium,3,Nutrition Support,Completed,Closed,6572,11,Unable to Verify Outcome
CWI-004723,Karnataka,Bengaluru Urban,2025-09-28,Healthcare Facility,15-17,Health/Nutrition,Low,5,Nutrition Support,Completed,Closed,2842,15,Referred to Specialist Agency
CWI-000221,Tamil Nadu,Tiruchirappalli,2025-08-17,Police,0-5,Health/Nutrition,Medium,1,Shelter Referral,Pending,Referred,5243,3,Referred to Specialist Agency
CWI-009189,Kerala,Thrissur,2025-12-20,Healthcare Facility,0-5,Education Support,Medium,4,Cash Support,Pending,Closed,2830,10,Improved Access to Services
CWI-001936,Andhra Pradesh,Guntur,2024-05-17,Childline/Helpline,0-5,Protection Concern,Medium,4,Nutrition Support,Completed,Open,6119,3,Improved Access to Services
CWI-000345,Rajasthan,Jaipur,2024-12-03,Community Worker,11-14,Health/Nutrition,High,4,Shelter Referral,Pending,Closed,75000,5,Stabilized
CWI-008333,Telangana,Karimnagar,2024-12-06,School,6-10,Protection Concern,High,4,Legal Aid Referral,Completed,Referred,4250,4,Referred to Specialist Agency
CWI-009675,Maharashtra,,2023-09-05,School,15-17,Protection Concern,High,3,Family Counseling,Completed,Closed,7022,2,Referred to Specialist Agency
CWI-004484,Karnataka,Belagavi,2023-07-09,Police,11-14,Health/Nutrition,Critical,1,Counseling,Completed,Closed,6782,1,Ongoing Support Needed
CWI-009707,Kerala,,2025-09-18,NGO Partner,15-17,Health/Nutrition,Low,1,Counseling,Completed,Open,2416,3,Ongoing Support Needed
CWI-008487,UP,Kanpur,2025-03-15,Community Worker,0-5,Emergency Shelter,High,6,Shelter Referral,Completed,Open,4566,0,Ongoing Support Needed
CWI-009217,UP,Agra,2023-05-08,Community Worker,0-5,Emergency Shelter,High,4,Counseling,Completed,Closed,1722,3,Referred to Specialist Agency
CWI-006904,Tamil nadu,Chennai,2023-10-24,School,0-5,Family Reintegration,Low,4,Education Kit,Completed,Open,3941,11,Stabilized
CWI-009155,Maharahstra,Nashik,2023-04-22,Childline/Helpline,0-5,Mental Health Support,Low,5,Shelter Referral,Completed,open,2339,8,Ongoing Support Needed
CWI-005961,Telangana,Rangareddy,2025-12-20,Self/Family,6-10,Protection Concern,Low,7,Counseling,Completed,Closed,1244,5,Stabilized
CWI-007035,Andhra Pradesh,Guntur,2024-11-01,Childline/Helpline,0-5,Education Support,Medium,3,Cash Support,In Progress,Closed,4702,5,Improved Access to Services
CWI-006052,Delhi,North Delhi,2024-11-19,Police,0-5,Protection Concern,Medium,4,Counseling,Completed,Open,4873,5,Referred to Specialist Agency
CWI-002392,Kerala,Kozhikode,2024-01-23,Childline/Helpline,6-10,Protection Concern,Medium,5,Counseling,Completed,Closed,2164,7,Referred to Specialist Agency
CWI-007182,Maharashtra,Nashik,2024-08-03,Self/Family,15-17,Mental Health Support,Medium,2,Legal Aid Referral,In Progress,Open,4993,9,Ongoing Support Needed
CWI-004329,Rajastan,Jaipur,2025-03-16,Childline/Helpline,6-10,Education Support,High,2,Legal Aid Referral,Completed,Closed,6443,5,Improved Access to Services
CWI-006453,Maharashtra,Nashik,2024-09-08,Community Worker,0-5,Emergency Shelter,Medium,5,Shelter Referral,Completed,Open,5034,5,Referred to Specialist Agency
CWI-001984,Karnataka,Dharwad,2024-11-26,Healthcare Facility,15-17,Health/Nutrition,High,3,Counseling,Completed,Closed,9354,5,Referred to Specialist Agency
CWI-008247,Andhra Pradesh,Kurnool,2025-01-17,Healthcare Facility,11-14,Health/Nutrition,Low,4,Medical Referral,Completed,Closed,2896,2,Ongoing Support Needed
CWI-001555,Karnataka,Mangaluru,2024-07-23,Police,6-10,Emergency Shelter,Medium,5,Counseling,Pending,Open,75000,4,Stabilized
CWI-004851,Karnataka,Dharwad,2025-03-10,NGO Partner,0-5,Health/Nutrition,Low,5,Medical Referral,In Progress,Escalated,4409,4,Stabilized
CWI-009096,Delhi,North Delhi,2024-10-21,Community Worker,0-5,Mental Health Support,Low,4,Family Counseling,In Progress,Closed,1570,9,Improved Access to Services
CWI-009923,Delhi,,2023-09-09,Self/Family,11-14,Mental Health Support,High,1,Nutrition Support,Completed,Open,5321,4,Referred to Specialist Agency
CWI-007533,Maharashtra,Mumbai,2024-08-11,NGO Partner,6-10,Mental Health Support,Low,4,Counseling,Completed,Open,2943,5,Referred to Specialist Agency
CWI-006854,Maharashtra,Mumbai,2024-11-03,NGO Partner,0-5,Family Reintegration,Low,5,Counseling,Completed,Closed,3103,9,Unable to Verify Outcome
CWI-004642,Telangana,Karimnagar,2025-07-03,Self/Family,11-14,Protection Concern,High,4,Counseling,Completed,Closed,7466,2,Improved Access to Services
CWI-002882,Andhra Pradesh,Visakhapatnam,2023-08-05,Childline/Helpline,11-14,Education Support,Low,8,Nutrition Support,Completed,Closed,2268,11,Stabilized
CWI-001678,Maharahstra,Thane,2024-04-01,NGO Partner,11-14,Mental Health Support,Medium,1,Shelter Referral,In Progress,Closed,4875,4,Stabilized
CWI-004886,Rajasthan,Kota,2023-06-23,Healthcare Facility,0-5,Education Support,High,3,Nutrition Support,Completed,Referred,8520,5,Improved Access to Services
CWI-001965,Kerala,Thrissur,2025-01-27,Police,6-10,Emergency Shelter,High,3,Shelter Referral,Completed,Closed,6859,0,Improved Access to Services
CWI-000902,Karnataka,Dharwad,2023-03-18,Healthcare Facility,11-14,Mental Health Support,High,4,Legal Aid Referral,Pending,Closed,3937,2,Stabilized
CWI-007131,maharashtra,Pune,2023-10-06,Childline/Helpline,11-14,Education Support,Medium,6,Family Counseling,Unable to Contact,Open,1977,5,Stabilized
CWI-003069,Kerala,Kollam,2024-10-30,Self/Family,15-17,Emergency Shelter,Medium,4,Nutrition Support,Unable to Contact,Referred,3130,3,Referred to Specialist Agency
CWI-002297,Keralam,Thrissur,2023-08-08,Police,11-14,Mental Health Support,Medium,2,Counseling,In Progress,Referred,1950,4,Ongoing Support Needed
CWI-006238,West Bengal,Howrah,2023-09-29,School,6-10,Emergency Shelter,Medium,3,Education Kit,Completed,Closed,4987,0,Ongoing Support Needed
CWI-005863,West Bengal,Asansol,2025-01-10,Childline/Helpline,0-5,Mental Health Support,Medium,2,Legal Aid Referral,Completed,Open,3132,1,Referred to Specialist Agency
CWI-000297,Uttar Pradesh,Agra,2023-06-25,Childline/Helpline,6-10,Mental Health Support,Medium,4,Family Counseling,Completed,Referred,5245,10,Stabilized
CWI-008779,Rajasthan,Jodhpur,2023-07-06,Childline/Helpline,15-17,Education Support,Critical,5,Medical Referral,Pending,Referred,4278,1,Improved Access to Services
CWI-000058,Delhi,East Delhi,2023-11-08,School,11-14,Education Support,Medium,5,Medical Referral,Completed,Closed,5760,5,Ongoing Support Needed
CWI-007243,Kerala,Thiruvananthapuram,2025-05-16,Police,11-14,Protection Concern,Medium,3,Counseling,Pending,Open,2730,2,Improved Access to Services
CWI-004386,Uttar Pradesh,Lucknow,2025-02-10,Self/Family,15-17,Protection Concern,High,5,Medical Referral,In Progress,Open,8372,6,Stabilized
CWI-002985,Telangana,Hyderabad,2024-09-24,NGO Partner,15-17,Mental Health Support,Low,5,Family Counseling,Completed,Closed,3076,4,Referred to Specialist Agency
CWI-000028,Telangana,,2023-07-16,Police,11-14,Emergency Shelter,Medium,2,Counseling,Completed,Closed,6895,1,Ongoing Support Needed
CWI-004408,Tamil Nadu,Madurai,2023-12-05,NGO Partner,15-17,Education Support,Medium,2,Education Kit,Completed,Open,2959,4,Ongoing Support Needed
CWI-009878,Rajasthan,Kota,2025-09-01,School,11-14,Education Support,Low,1,Cash Support,In Progress,Closed,1874,2,Unable to Verify Outcome
CWI-002677,Maharashtra,Nagpur,2025-03-02,School,6-10,Family Reintegration,Medium,4,Medical Referral,In Progress,Closed,3263,5,Referred to Specialist Agency
CWI-008546,Maharashtra,Mumbai,2023-03-12,NGO Partner,6-10,Health/Nutrition,Medium,1,Medical Referral,In Progress,Open,1310,6,Improved Access to Services
CWI-005263,Andhra Pradesh,Kurnool,2023-04-30,Police,0-5,Protection Concern,Low,2,Education Kit,In Progress,Escalated,2127,1,Stabilized
CWI-005842,Tamil Nadu,Tiruchirappalli,2023-12-04,Self/Family,15-17,Protection Concern,Medium,3,Education Kit,In Progress,Open,3138,4,Ongoing Support Needed
CWI-007022,Uttar Pradesh,Prayagraj,2024-10-13,School,11-14,Emergency Shelter,Low,5,Shelter Referral,Completed,Open,3180,9,Stabilized
CWI-003249,UP,Varanasi,2023-03-20,School,6-10,Health/Nutrition,Low,3,Nutrition Support,Completed,Closed,2748,5,Ongoing Support Needed
CWI-005668,Uttar pradesh,Varanasi,2025-02-21,School,6-10,Health/Nutrition,Medium,3,Shelter Referral,Completed,Closed,7087,3,Stabilized
CWI-003885,Uttar Pradesh,Agra,2024-06-27,NGO Partner,0-5,Mental Health Support,Medium,6,Education Kit,Completed,Escalated,2631,0,Referred to Specialist Agency
CWI-007664,Uttar Pradesh,Varanasi,2025-07-11,School,0-5,Health/Nutrition,High,4,Family Counseling,Completed,Closed,5448,0,Stabilized
CWI-000296,Uttar Pradesh,Varanasi,2024-05-15,Community Worker,0-5,Health/Nutrition,Low,4,Family Counseling,In Progress,Closed,3870,6,Improved Access to Services
CWI-003162,Uttar Pradesh,Varanasi,2025-10-03,NGO Partner,6-10,Health/Nutrition,Medium,4,Cash Support,In Progress,Closed,2594,4,Stabilized
CWI-002581,Telangana,Warangal,2025-01-30,Community Worker,0-5,Education Support,High,3,Counseling,Completed,Closed,4504,3,Stabilized
CWI-003871,Tamil Nadu,Chennai,2023-12-27,Childline/Helpline,0-5,Health/Nutrition,Low,3,Nutrition Support,Completed,Open,4900,3,Improved Access to Services
CWI-009211,Uttar Pradesh,Varanasi,2024-08-17,School,11-14,Education Support,Low,3,Medical Referral,Completed,Open,4161,3,Ongoing Support Needed
CWI-004405,maharashtra,Mumbai,2023-06-10,Self/Family,15-17,Emergency Shelter,High,4,Family Counseling,Completed,Open,9112,4,Improved Access to Services
CWI-006953,AP,Tirupati,2025-11-11,Healthcare Facility,0-5,Protection Concern,Medium,5,Legal Aid Referral,Completed,Closed ,3624,6,Ongoing Support Needed
CWI-000649,West Bengal,Asansol,2025-03-06,School,6-10,Emergency Shelter,High,4,Family Counseling,Completed,Closed,7210,2,Improved Access to Services
CWI-001371,Andhra Pradesh,Kurnool,2025-09-17,School,11-14,Protection Concern,Medium,4,Education Kit,In Progress,Referred,5654,2,Stabilized
CWI-009856,Andhra Pradesh,Guntur,2025-04-04,Healthcare Facility,0-5,Health/Nutrition,Low,3,Medical Referral,Unable to Contact,Closed,2965,10,Referred to Specialist Agency
CWI-006993,Uttar Pradesh,Varanasi,2023-09-29,NGO Partner,15-17,Education Support,Medium,5,Medical Referral,Completed,Closed,3910,6,Ongoing Support Needed
CWI-005533,Maharashtra,,2025-04-30,School,15-17,Health/Nutrition,High,6,Counseling,Completed,Open,10278,1,Ongoing Support Needed
CWI-009621,Andhra Pradesh,Kurnool,2024-09-02,Self/Family,11-14,Protection Concern,Medium,2,Cash Support,Completed,Closed,3999,5,Referred to Specialist Agency
CWI-005709,Telangana,Nizamabad,2024-08-15,Childline/Helpline,0-5,Mental Health Support,Low,4,Legal Aid Referral,In Progress,Closed,1725,10,Ongoing Support Needed
CWI-004210,Karnataka,Bengaluru Urban,2023-09-14,Self/Family,0-5,Education Support,Medium,3,Education Kit,Completed,Closed,6105,10,Stabilized
CWI-000682,Karnataka,Mysuru,2025-05-19,School,0-5,Education Support,Low,4,Medical Referral,Completed,Open,1171,4,Referred to Specialist Agency
CWI-000435,Telangana,Nizamabad,2023-04-10,Childline/Helpline,6-10,Family Reintegration,Low,3,Shelter Referral,Unable to Contact,Closed,2390,0,Improved Access to Services
CWI-009310,West Bengal,Asansol,2025-10-14,Police,0-5,Emergency Shelter,Medium,7,Medical Referral,Completed,Escalated,7261,8,Improved Access to Services
CWI-004825,Maharashtra,Pune,2024-01-16,NGO Partner,11-14,Education Support,Low,3,Cash Support,Pending,Closed,100,12,Stabilized
CWI-001764,Telangana,Rangareddy,2024-12-24,Police,11-14,Protection Concern,Medium,3,Counseling,Pending,Closed,4122,4,Unable to Verify Outcome
CWI-003160,Tamil Nadu,Chennai,2025-05-14,Community Worker,6-10,Protection Concern,Low,2,Legal Aid Referral,Pending,Closed,3839,2,Ongoing Support Needed
CWI-001490,Maharashtra,Mumbai,2023-11-04,Healthcare Facility,11-14,Emergency Shelter,Critical,5,Cash Support,Completed,Open,8188,0,Unable to Verify Outcome
CWI-002988,Delhi,West Delhi,2025-05-19,Healthcare Facility,0-5,Education Support,Medium,2,Family Counseling,Completed,Open,1866,3,Stabilized
CWI-000813,Uttar Pradesh,,2023-08-25,Community Worker,6-10,Mental Health Support,Medium,5,Family Counseling,Unable to Contact,Open,4601,0,Unable to Verify Outcome
CWI-001883,Maharashtra,Thane,2025-02-01,Self/Family,6-10,Protection Concern,Medium,3,Shelter Referral,Completed,Open,5765,4,Referred to Specialist Agency
CWI-009268,Rajasthan,Ajmer,2025-01-07,Childline/Helpline,0-5,Family Reintegration,Medium,2,Medical Referral,Completed,Referred,7792,4,Stabilized
CWI-004937,Tamil Nadu,Salem,2025-05-15,Self/Family,11-14,Education Support,Critical,4,Shelter Referral,Pending,Open,8838,2,Stabilized
CWI-009936,TN,Tiruchirappalli,2025-01-02,Healthcare Facility,6-10,Education Support,Low,4,Nutrition Support,Completed,Open,3782,14,Improved Access to Services
CWI-001941,Karnataka,Mangaluru,2023-11-02,School,11-14,Protection Concern,Low,2,Counseling,Completed,Escalated,100,7,Referred to Specialist Agency
CWI-003297,Kerala,Kollam,2023-04-13,Healthcare Facility,0-5,Protection Concern,Low,5,Legal Aid Referral,Completed,Escalated,2904,7,Improved Access to Services
CWI-003535,Kerala,Thrissur,2025-03-27,School,6-10,Protection Concern,Medium,6,Nutrition Support,Pending,Open,1291,4,Stabilized
CWI-004526,Delhi,East Delhi,2024-07-12,NGO Partner,0-5,Protection Concern,Medium,4,Family Counseling,Completed,Open,2408,1,Improved Access to Services
CWI-003730,kerala,Thrissur,2024-07-11,Childline/Helpline,6-10,Family Reintegration,High,1,Nutrition Support,Pending,Open,125000,2,Referred to Specialist Agency
CWI-007016,Uttar Pradesh,Kanpur,2024-06-27,NGO Partner,15-17,Emergency Shelter,Critical,2,Nutrition Support,In Progress,Referred,7140,1,Referred to Specialist Agency
CWI-004115,Rajasthan,Ajmer,2024-04-17,School,0-5,Mental Health Support,Medium,5,Family Counseling,Completed,Escalated,1617,8,Stabilized
CWI-001182,Andhra Pradesh,Guntur,2025-07-27,Community Worker,11-14,Education Support,Medium,4,Shelter Referral,Completed,Closed,1074,1,Referred to Specialist Agency
CWI-001376,Telangana,Rangareddy,2025-07-18,Self/Family,11-14,Education Support,High,3,Medical Referral,Completed,Referred,660,0,Improved Access to Services
CWI-009225,Telangana,Warangal,2025-10-04,Community Worker,15-17,Education Support,Low,4,Nutrition Support,Completed,open,2430,7,Stabilized
CWI-003947,Karnataka,Mysuru,2023-04-06,School,11-14,Mental Health Support,Medium,7,Cash Support,Completed,Escalate,2788,3,Improved Access to Services
CWI-007211,Maharashtra,Pune,2025-06-19,Police,6-10,Protection Concern,Critical,6,Education Kit,Completed,Closed,11252,2,Improved Access to Services
CWI-005212,Karnataka,Mangaluru,2023-01-27,School,11-14,Education Support,Medium,2,Medical Referral,Completed,Referred,3482,4,Ongoing Support Needed
CWI-000064,Kerala,Kozhikode,2023-02-05,NGO Partner,11-14,Protection Concern,Low,2,Medical Referral,In Progress,Open,2339,11,Improved Access to Services
CWI-000627,Rajasthan,Udaipur,2025-08-03,Healthcare Facility,6-10,Protection Concern,Low,6,Nutrition Support,In Progress,Closed,2530,13,Stabilized
CWI-004422,Karnataka,Mysuru,2023-10-24,Community Worker,15-17,Protection Concern,Low,4,Medical Referral,Completed,Closed,1885,6,Ongoing Support Needed
CWI-001670,Rajasthan,Jaipur,2024-12-31,Healthcare Facility,11-14,Protection Concern,High,3,Counseling,Completed,Closed,7063,3,Referred to Specialist Agency
CWI-002113,Andhra Pradesh,Vijayawada,2024-06-05,Police,11-14,Mental Health Support,Low,4,Family Counseling,In Progress,Closed,2397,8,Unable to Verify Outcome
CWI-005805,Maharashtra,Thane,2024-09-03,Healthcare Facility,11-14,Mental Health Support,Low,2,Medical Referral,Completed,Closed,1748,0,Referred to Specialist Agency
CWI-009764,Tamil nadu,Tiruchirappalli,2023-01-06,NGO Partner,11-14,Education Support,Critical,2,Shelter Referral,Completed,Closed,9658,4,Stabilized
CWI-004033,West Bengal,Howrah,2025-10-14,Self/Family,15-17,Mental Health Support,Medium,1,Family Counseling,Completed,Referred,5307,10,Stabilized
CWI-006546,Rajasthan,Ajmer,2023-11-23,Police,11-14,Family Reintegration,Low,4,Family Counseling,Completed,Closed,2487,8,Referred to Specialist Agency
CWI-007949,Karnataka,Bengaluru Urban,2025-02-04,Police,0-5,Mental Health Support,Low,3,Education Kit,Completed,Open,1052,8,Improved Access to Services
CWI-000085,Telangana,Nizamabad,2024-01-13,Childline/Helpline,6-10,Health/Nutrition,Low,2,Shelter Referral,In Progress,Referred,1756,7,Improved Access to Services
CWI-009181,Maharashtra,Mumbai,2023-06-06,Self/Family,11-14,Protection Concern,Low,2,Counseling,Completed,Closed,3866,9,Unable to Verify Outcome
CWI-001463,Karnataka,Dharwad,2023-03-05,School,11-14,Education Support,Medium,3,Education Kit,In Progress,Closed,3069,0,Improved Access to Services
CWI-002284,Kerala,Kollam,2023-01-05,Childline/Helpline,6-10,Emergency Shelter,Medium,2,Education Kit,Pending,Open,4591,1,Referred to Specialist Agency
CWI-002888,Uttar Pradesh,Agra,2023-04-05,Healthcare Facility,11-14,Emergency Shelter,Medium,3,Nutrition Support,Completed,Open,6226,6,Ongoing Support Needed
CWI-005835,Delhi,North Delhi,2025-02-11,Community Worker,6-10,Family Reintegration,High,1,Education Kit,Completed,Closed,125000,1,Stabilized
CWI-000685,West Bengal,Asansol,2025-12-31,Self/Family,6-10,Health/Nutrition,Medium,5,Education Kit,Completed,Closed,5013,0,Stabilized
CWI-004470,karnataka,Mangaluru,2024-01-13,School,11-14,Education Support,Medium,6,Nutrition Support,Completed,Escalated,4143,0,Ongoing Support Needed
CWI-000419,Karnataka,Belagavi,2024-04-01,School,0-5,Protection Concern,Low,5,Cash Support,Completed,Open,2269,4,Improved Access to Services
CWI-005229,Karnataka,Bengaluru Urban,2025-11-27,Police,6-10,Emergency Shelter,High,3,Counseling,Completed,Referred,8079,2,Ongoing Support Needed
CWI-004254,Delhi,New Delhi,2025-03-21,School,0-5,Mental Health Support,Low,3,Legal Aid Referral,Completed,Closed,2264,8,Referred to Specialist Agency
CWI-002710,West Bengal,Kolkata,2024-02-01,Childline/Helpline,6-10,Education Support,Low,2,Medical Referral,Completed,Closed,1930,5,Stabilized
CWI-002358,Maharashtra,Mumbai,2024-11-14,School,0-5,Protection Concern,Medium,4,Shelter Referral,Completed,Referred,5772,1,Stabilized
CWI-008060,Uttar Pradesh,Varanasi,2024-01-27,School,11-14,Protection Concern,Medium,4,Nutrition Support,Unable to Contact,Open,4138,2,Ongoing Support Needed
CWI-001367,Karnataka,Dharwad,2024-12-02,Healthcare Facility,15-17,Education Support,Low,3,Counseling,Completed,Referred,3309,9,Stabilized
CWI-006278,west bengal,Kolkata,2024-03-12,School,11-14,Mental Health Support,Low,3,Family Counseling,Completed,Escalated,1463,7,Ongoing Support Needed
CWI-003917,Maharashtra,Nashik,2024-05-25,Community Worker,6-10,Education Support,Medium,3,Medical Referral,Unable to Contact,Open,4666,4,Referred to Specialist Agency
CWI-000294,Andhra Pradesh,Tirupati,2023-08-09,NGO Partner,6-10,Protection Concern,Medium,6,Counseling,Completed,Closed,1296,5,Stabilized
CWI-002640,Karnataka,Dharwad,2023-07-23,Community Worker,0-5,Health/Nutrition,High,4,Cash Support,Completed,Closed,4825,2,Improved Access to Services
CWI-009459,Delhi,North Delhi,2025-03-19,Childline/Helpline,6-10,Education Support,Low,7,Education Kit,Completed,Open,2176,5,Improved Access to Services
CWI-001507,Kerala,Kochi,2024-02-12,Police,11-14,Protection Concern,Medium,2,Counseling,Pending,Closed,6184,3,Unable to Verify Outcome
CWI-009038,Delhi,East Delhi,2023-05-27,Childline/Helpline,11-14,Health/Nutrition,High,4,Family Counseling,Pending,Closed,4936,5,Stabilized
CWI-007394,Kerala,Kozhikode,2024-02-17,Police,15-17,Protection Concern,Medium,4,Family Counseling,Completed,Open,4336,1,Unable to Verify Outcome
CWI-001635,Uttar Pradesh,Varanasi,2024-04-28,Healthcare Facility,0-5,Education Support,Medium,2,Medical Referral,Completed,Open,3050,1,Stabilized
CWI-002458,Andhra Pradesh,Visakhapatnam,2023-02-27,School,6-10,Protection Concern,High,3,Counseling,Completed,Closed,8495,0,Referred to Specialist Agency
CWI-009892,Maharashtra,Mumbai,2025-05-15,Healthcare Facility,11-14,Protection Concern,High,4,Education Kit,Completed,Open,6547,1,Referred to Specialist Agency
CWI-005559,West Bengal,Siliguri,2025-11-21,Childline/Helpline,15-17,Emergency Shelter,Medium,2,Cash Support,Pending,Closed,4089,3,Stabilized
CWI-009752,Uttar Pradesh,Prayagraj,2025-01-24,School,15-17,Protection Concern,Low,4,Shelter Referral,Completed,Referred,1717,5,Referred to Specialist Agency
CWI-002301,Uttar Pradesh,Agra,2023-02-14,School,6-10,Emergency Shelter,Low,3,Medical Referral,Completed,Closed,100,12,Stabilized
CWI-004538,Rajastan,Udaipur,2025-10-11,School,11-14,Mental Health Support,Critical,4,Education Kit,In Progress,Referred,4046,0,Ongoing Support Needed
CWI-002939,Karnataka,Bengaluru Urban,2025-12-17,School,0-5,Education Support,Medium,4,Medical Referral,Completed,Closed,2795,2,Referred to Specialist Agency
CWI-001564,Uttar Pradesh,Varanasi,2023-01-09,School,11-14,Protection Concern,Medium,3,Legal Aid Referral,In Progress,Closed,5542,5,Ongoing Support Needed
CWI-005690,Uttar pradesh,Agra,2024-02-28,Childline/Helpline,0-5,Health/Nutrition,High,4,Counseling,Pending,Closed,3913,4,Stabilized
CWI-008659,Delhi,South Delhi,2023-07-06,Police,6-10,Health/Nutrition,High,5,Medical Referral,In Progress,Open,6222,0,Unable to Verify Outcome
CWI-007518,West Bengal,Howrah,2024-10-28,Community Worker,15-17,Family Reintegration,Medium,6,Counseling,In Progress,Closed,2709,7,Ongoing Support Needed
CWI-001980,karnataka,Bengaluru Urban,2024-01-03,Police,0-5,Protection Concern,Low,4,Shelter Referral,Completed,Open,3507,0,Stabilized
CWI-001884,Keralam,Kozhikode,2024-11-15,Self/Family,6-10,Education Support,Low,2,Nutrition Support,Completed,Closed,4029,4,Stabilized
CWI-003804,Andhra Pradesh,Visakhapatnam,2024-06-25,Self/Family,11-14,Family Reintegration,Medium,3,Medical Referral,Completed,Closed,2274,9,Unable to Verify Outcome
CWI-000439,kerala,Thrissur,2023-02-10,Community Worker,6-10,Mental Health Support,High,3,Counseling,In Progress,Escalated,9559,0,Referred to Specialist Agency
CWI-004636,Telangana,Nizamabad,2025-09-03,NGO Partner,11-14,Mental Health Support,High,3,Education Kit,Pending,Open,8096,4,Referred to Specialist Agency
CWI-004529,Karnataka,Mysuru,2023-12-07,Childline/Helpline,6-10,Education Support,High,3,Nutrition Support,Completed,Closed,3625,1,Improved Access to Services
CWI-004333,Telangana,Rangareddy,2024-03-24,Childline/Helpline,11-14,Protection Concern,High,3,Counseling,Completed,Open,4409,0,Unable to Verify Outcome
